country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Iraq (Kurdistan Region)**,CTS,,,,,,,,, 	144 , 	96 , 	138 , 	116 , 	103 , 	111 ,,,,
Israel,NSO/CTS/SDG, 	147 , 	223 , 	227 , 	195 , 	173 , 	166 , 	182 , 	125 , 	136 , 	128 , 	145 , 	151 , 	134 ,, 	118 , 	110 ,,
Jordan,CTS/SDG/NP,,,,,, 	67 , 	100 , 	112 , 	120 , 	102 , 	116 , 	141 , 	161 , 	144 , 	176 , 	159 , 	145 ,
Kuwait,UNSDC/NP/CTS,, 	39 , 	23 , 	29 , 	43 , 	41 , 	45 , 	59 , 	38 , 	49 , 	60 , 	59 , 	61 ,,,,,
Lebanon,CTS,,,,,,,,, 	183 , 	145 , 	163 , 	168 , 	194 , 	236 , 	240 , 	231 , 	235 ,
Oman,NSO,,, 	28 , 	35 , 	42 , 	53 , 	121 , 	37 , 	47 , 	37 , 	48 , 	34 , 	39 , 	97 , 	26 ,,,
Qatar,UNSDC/MD, 	1 , 	5 ,,, 	5 , 	6 , 	5 , 	9 , 	12 , 	8 , 	4 , 	4 , 	7 , 	9 , 	9 ,,,
Saudi Arabia,NSO/CTS, 	173 , 	229 , 	285 , 	250 , 	301 , 	297 , 	255 , 	265 ,,,,,,,, 	472 ,,
State of Palestine,CTS/SDG,,,, 	94 , 	96 , 	86 ,,, 	48 , 	44 , 	32 , 	24 , 	26 , 	24 , 	35 , 	45 , 	33 ,
Syrian Arab Republic,NSO, 	357 , 	376 , 	368 , 	405 , 	426 , 	430 , 	446 , 	533 , 	529 , 	476 , 	463 ,,,,,,,
Turkey,CTS,,,," 	2,837 "," 	2,914 "," 	3,305 "," 	3,168 "," 	3,599 "," 	3,257 "," 	3,692 "," 	3,064 "," 	3,061 "," 	3,216 ",,,,,
